pitcher,avgeffectvelo,avgvelo,avgspinrate,avgrelease,avgextension,avgvertbreak,avghorzbreak
"Gonzalez, Joan",86.67171,88.62510666666670,1722.789936,5.43017,5.12878,-30.129963333333300,10.736803333333300
"Haab, Jonathan",87.06533,88.43973,1689.375236,5.8851,5.54143,-22.52041,10.26697
"Minton, Hayden",87.99131,88.26173125,1705.2974616250000,5.5165637500000000,6.246303125,-24.265967500000000,8.999414375
"Stevens, Will",86.72056666666670,87.79591,1895.7744270000000,5.752486666666670,5.689416666666670,-31.202983333333300,9.410923333333340
"Cespedes, Angel",86.07358666666670,87.40181444444450,1737.6652574444400,5.460197777777780,5.644856666666670,-29.05728222222220,13.417355555555600
"Ammerlaan, Ashe",86.05406750000000,87.184155,2047.3222235000000,4.891535,5.7688300000000000,-28.472575,-18.212097500000000
"Becker, Austin",85.84057,87.04895142857140,1522.790108857140,6.3134042857142800,5.602001428571430,-34.532424285714300,13.72356714285710
"Goodwin, Sean",85.94440333333330,87.00787666666670,2244.7887646666700,5.904320000000000,5.994436666666670,-23.20772666666670,16.643070000000000
"Wendell, Wyatt",85.1448575,86.974895,1475.3955557500000,6.40802,5.2258125,-30.797575000000000,10.1836775
"Bosch, Carter",86.846885,86.663505,2156.65379,5.65319,6.4269100000000000,-28.041180000000000,14.2167
"Yamane, Tiaga",84.36460666666670,86.59491666666670,2102.4735123333300,5.84607,5.240383333333330,-24.817596666666700,11.686413333333300
"Mineo, Ricky",86.98038,86.47462,1856.217213,6.28694,6.64979,-20.88517,8.84449
"Shalley, Tucker",85.08283916666670,86.45638583333330,2039.9309775833300,5.737851666666670,5.6984875,-26.591739166666700,16.536163333333300
"Saathoff, Allan",84.80059,86.29183,1541.205767,5.4405,5.50636,-30.70246,12.64241
"Nett, Braden",84.963885,86.262625,2375.367245,5.3237275000000000,5.6146875,-28.417360000000000,15.920315
"Smith, Chase",84.607145,86.26235617647060,1986.8429133333300,4.329797352941180,5.587223235294120,-37.62827823529410,17.885814705882400
"Diedrich, Sayer",84.562275,86.222235,2123.3471365,5.718730000000000,5.4347450000000000,-30.055665000000000,-19.016725
"Marozas, Austin",84.880415,86.19691500000000,1997.7360905,5.68546,5.7942350000000000,-37.765215,17.99058
"Whaley, Alec",83.92938236842110,86.15870763157900,2050.5222399473700,3.9861702631578900,5.078535526315790,-38.910698421052600,19.188629210526300
"Spoljaric, Turner",83.961512,85.955746,1959.7479956,5.4879740000000000,5.296632,-31.126904000000000,15.497362
"Mollerus, Josh",84.25571555555560,85.90266444444450,1707.9253840000000,6.171528888888890,5.317423333333330,-26.15066666666670,13.746358888888900
"Fosbenner, Xavier",84.85126857142860,85.86004857142860,2129.2444210000000,5.22996,5.853608571428570,-26.850327142857100,10.669478571428600
"Kane, Thomas",83.9622225,85.707215,1760.401095,5.381306250000000,5.48098625,-28.147078750000000,-5.7999875
"Morrissette, Wagner",83.79894,85.6525,2080.288856,5.50158,5.14183,-23.10844,14.46733
"Brandon, Connor",82.69630666666670,85.65058666666670,1944.3394636666700,4.907568333333330,4.825631666666670,-38.84643166666670,17.941565
"De Grandpre, Cedric",84.06798,85.622165,1771.197616,5.776135,5.44527,-23.537,14.548235000000000
"Keller, Dave",83.92308666666670,85.61958333333330,2111.872782,5.467176666666670,5.26602,-26.29617,8.964716666666670
"Hansel, Luke",83.83807428571430,85.58147000000000,1574.8546482857100,5.893275714285710,5.299434285714290,-25.288765714285700,8.650297142857140
"Fruit, Zach",86.25885400000000,85.579121,1451.6369499,5.582209,6.677505000000000,-29.832859000000000,5.444967
"Czerniawski, Zachary",84.57405,85.457015,2155.646306,4.996105,5.72381,-26.79161,8.735025
"Camfield, Geoffrey",83.17958,85.35143,1511.675732,5.70833,5.0593,-35.54218,14.96682
"Bortka, Josh",84.69855,85.29245,1639.578122,5.72331,6.10718,-29.59576,11.81434
"Parisi, Jack",84.01075,85.2554,2296.48695,5.21587,5.74026,-32.7197,15.22954
"Blatter, Brock",85.67031285714290,85.17786,1712.118838,6.078127142857140,6.476071428571430,-28.678137142857100,6.227135714285720
"Ayers, Kyle",83.27814666666670,85.00786333333330,1884.482304,5.51813,5.42617,-33.62104333333330,19.331073333333300
"Schomberg, Will",82.086314,84.90706800000000,1849.6178368,4.952316,4.494562,-33.396696,12.66162
"Ornido, Riley",84.3461725,84.870815,1859.5828775000000,6.5802175,6.020755,-26.728832500000000,8.4819125
"Kiritsis, Daniel",84.18425142857140,84.85904571428570,1537.0135376500000,5.929237619047620,5.966021904761900,-27.39610761904760,8.058930952380950
"Wilson, Benjamin",83.49690268292680,84.84756097560980,1807.4785832926800,5.630037804878050,5.559260000000000,-31.46486121951220,11.168418780487800
"Knoll, Brendan",83.13546857142860,84.84386571428570,1471.6785320000000,5.319652857142860,5.39465,-34.10876571428570,8.432244285714290
"Johnson, Tyler",84.31849916666670,84.768735,1755.83832575,5.187848333333330,6.018512500000000,-26.046822500000000,10.0983325
"Kush, Jacob",82.27521166666670,84.73809,1691.8409461666700,5.695956666666670,4.523343333333330,-26.525815000000000,9.272793333333330
"Sikorski, Easton",82.9476625,84.6958625,1566.48630025,5.5004675,5.2995150000000000,-34.9515825,14.1235125
"Garcia, Lex",82.698945,84.58266,1727.042566,6.660475,5.147865,-24.894975000000000,9.289950000000000
"Roberston, Trae",83.3231,84.58260857142860,1399.3732195714300,5.4846264285714300,5.518395714285710,-32.78699142857140,-10.966514285714300
"Fernandez, Ronaldo",83.73514333333330,84.58010666666670,1764.2605820000000,4.806896666666670,5.6969200000000000,-32.81868,16.97355333333330
"Reeves, Cobe",82.62706052631580,84.57503842105260,1927.5037598421100,5.964402105263160,5.333133157894740,-33.54193052631580,-13.885287368421100
"Schueler, Jay",84.81508714285710,84.5000357142857,1774.9844035714300,5.535508571428570,6.421841428571430,-31.94546571428570,12.873235714285700
"Szabo, Zakery",83.94523666666670,84.45794000000000,1563.1319983333300,5.578983333333330,6.190856666666670,-23.520616666666700,6.394413333333330
"Hunt, KC",83.54719,84.439425,2249.7162485,5.5048450000000000,5.7712,-30.359030000000000,14.557705000000000
"Wright, Kerry",83.9125175,84.4374475,1903.49796475,5.2868425,6.0970675,-33.6909225,12.1405175
"Alba, Max",82.76724,84.41872,2002.620796,7.0397,5.30027,-25.40383,8.72508
"Davitt, Duncan",84.02576100000000,84.4129545,1779.8613526000000,4.798045,6.0991245,-34.778442500000000,16.8892545
"Roberts, Aaron",85.5577,84.40727,2343.846554,4.89528,7.00108,-28.08395,11.66957
"Gross, Thomas",81.53776333333330,84.38635333333330,1761.3752203333300,5.388356666666670,4.6425133333333300,-38.41242333333330,19.417886666666700
"Brown, Matt",83.285415,84.36245,2192.9964545000000,5.38205,5.650275000000000,-26.06395,15.637705
"Morris, Gunner",83.01509875000000,84.3281975,1821.9130346875,5.800845,5.578686875000000,-31.35733375,14.874310000000000
"Gowens, Riley",83.33778,84.27800142857140,1866.6110532857100,5.365468571428570,5.6116,-32.07450428571430,16.41967
"Walling, Andrew",82.34677,84.27128,2134.614277,5.28117,5.38568,-31.99726,-17.94308
"Cheeley, Austin",83.141793,84.060127,1812.0811569000000,5.908275000000000,5.915683,-30.719415000000000,15.092495
"Pintaro, Jonathan",82.61054400000000,84.032504,2027.472189,4.801473,5.752217,-36.956824,17.962479
"Ramos, Jean Paul",81.91561560000000,84.0170048,1909.5258665000000,5.7918272,5.1088884000000000,-27.870468000000000,12.063413200000000
"Kengott, Jared",82.11147136363640,83.892345,1768.2126132272700,5.425608636363640,5.4025454545454500,-35.64230204545460,15.611249318181800
"Rivera, Geo",84.19753000000000,83.87730000000000,2189.344257,5.407583333333330,6.534893333333330,-30.026840000000000,16.068383333333300
"Cherry, Derrick",81.92334,83.78754,2204.149764,5.23818,5.62963,-35.84092,16.49863
"McMahon, Ian",81.42932736842110,83.75065421052630,2052.2214034210500,6.028435789473680,4.976461578947370,-21.23360789473680,-11.238179473684200
"Olejnik, Peyton",83.64565636363640,83.70855636363640,2273.3157632727300,5.4855136363636400,6.23516,-27.143073636363600,12.796878181818200
"Palumbo, Nick",82.24952166666670,83.70366333333330,2305.870670166670,5.144068333333330,5.498448333333330,-30.609491666666700,18.109355
"Steward, Casey",83.36744120000000,83.6790336,1662.7056142000000,5.8294664,6.186638,-31.324370800000000,12.488120000000000
"Jeans, Tyler",82.47511857142860,83.59303428571430,1800.042357,5.783787142857140,5.698455714285710,-26.766802857142900,11.698307142857100
