pitcher,avgeffectvelo,avgvelo,avgspinrate,avgrelease,avgextension,avgvertbreak,avghorzbreak
"Patterson, Kyler",80.90656,82.7431325,2683.02999775,6.1425225,5.1867725,-47.38669,-5.3325725
"Brandon, Connor",78.93157363636360,81.80776090909090,2672.2609772727300,5.049399090909090,4.536696363636360,-51.97623000000000,-10.775500000000000
"Wiseman, Kevin",79.91296333333330,81.69150666666670,2499.019955666670,5.754716666666670,5.147195,-49.273851666666700,-4.74054
"Palumbo, Nick",80.204464,81.681252,2521.7873348000000,5.440816,5.355396,-51.253060000000000,-9.52177
"Fusco, Sal",80.6947225,81.565495,2189.181794,5.983595000000000,5.52738,-47.0687075,-5.6737825
"Reeves, Cobe",78.71984,81.19404,2385.5364260000000,6.02536,5.138485,-48.981305,3.26333
"Kush, Jacob",77.79494,81.180385,2494.49152925,5.683870000000000,4.4254550000000000,-51.5469,-3.9582925
"Ayers, Kyle",79.04099375000000,81.08788375,2605.202903625,5.726367500000000,5.002037500000000,-49.7143375,-7.49302625
"Hansel, Luke",79.04299575757580,81.0613590909091,2294.6576925454500,5.7009184848484900,4.977321515151520,-51.22649545454550,-8.074194242424240
"Saathoff, Allan",79.38072594594600,80.86629891891890,2329.712300783780,5.509877027027030,5.4616713513513500,-51.26898891891890,-10.613609729729700
"Wilson, Jeffrey",79.26945,80.7246525,2566.508679,6.436115,5.51569,-50.7377925,-6.269915000000000
"Bucknam, Micah",78.86689,80.39338666666670,2052.1333156666700,5.328213333333330,5.455560000000000,-49.24712666666670,-1.5659566666666700
"Bosch, Carter",79.3395158064516,80.03608516129030,2344.355115580650,5.730022258064520,5.811926774193550,-49.15455645161290,-8.297201935483870
"Rodriguez, Mauricio",79.89171333333330,80.00649,2209.430257333330,5.411253333333330,6.433496666666670,-47.113176666666700,-3.8415533333333300
"Watkins, Creed",77.58498000000000,79.86268875000000,2515.5211080000000,5.583435,4.8520575,-53.27189125,-10.845345
"Velazquez, Ryan",79.15526,79.80544,1814.88935,5.90709,5.74337,-46.20014,-6.43095
"Blatter, Brock",78.77711722222220,79.75061666666670,2722.1748485000000,6.0330877777777800,5.960072222222220,-61.65598888888890,-6.590961666666670
"Mollerus, Josh",77.261165,79.71785,2280.3007695,6.1013850000000000,4.98021,-49.01839,-15.26174
"Whaley, Alec",77.60542307692310,79.60259000000000,2212.4735423076900,4.643966923076920,4.926763076923080,-49.38022769230770,-5.924073076923080
"Coles, Chad",76.96145657142860,79.51049285714290,2102.4627155714300,6.033327142857140,4.6838677142857100,-51.79104257142860,-4.340035428571430
"Cook, Jeremy",76.31005,79.49884,2152.76394,5.47853,4.37216,-46.07896,0.53693
"Rivera, Geo",78.31449333333330,79.47071833333330,2762.3576046666700,5.491668333333330,5.710113333333330,-51.54974000000000,-15.077580000000000
"Patten, Cole",77.2951125,79.36978500000000,2362.88664925,5.9279975,5.2206275,-49.5958825,-5.683517500000000
"Knoll, Brendan",77.7345390909091,79.33910181818180,2466.8782730909100,5.723329090909090,5.126685454545460,-49.70232818181820,-12.221274545454500
"Fluno, Carson",78.1678825,79.22683375,2243.64291875,6.44352375,5.5653875,-50.717947500000000,-5.0368087500000000
"Richardson, Maddex",78.21324,79.20035,2346.8434260000000,6.372450000000000,5.404825,-46.655535,-3.146875
"De Cedric, Grandpre",77.36684700000000,79.18158450000000,2285.73159035,6.092595,5.493227,-61.5046435,-11.479044
"Garcia, Lex",76.88247166666670,79.16684666666670,2473.8389445000000,6.568548333333330,5.007446666666670,-49.54176000000000,-4.705783333333330
