pitcher,avgeffectvelo,avgvelo,avgspinrate,avgrelease,avgextension,avgvertbreak,avghorzbreak
"Braithwaite, Trey",92.308722,94.0815,2537.6927404000000,6.860788000000000,5.502866,-13.863556000000000,-5.418380000000000
"Stevens, Will",90.91652193548390,92.23332967741940,2658.5969771935500,5.900183548387100,5.50622129032258,-24.004571935483900,-3.3442422580645200
"Parisi, Jack",90.65742,91.96434,2733.625844,5.58184,5.43241,-24.14371,0.95992
"Haab, Jonathan",90.41687,91.88344,2522.772574,6.1699,5.49925,-13.89182,-2.63024
"Carter, Alan",90.883,91.76393,2369.4290146666700,6.036113333333330,6.027180000000000,-15.707056666666700,-5.46309
"Rivera, Geo",91.937815,91.48953500000000,2352.031468,5.749455,6.523457500000000,-23.00262,-0.20472500000000000
"Hansel, Luke",91.361415,91.442575,2243.7368025000000,5.671660000000000,6.08994,-22.31718,-1.9316750000000000
"Blatter, Brock",91.88255710144930,91.31181217391300,2500.10362657971,6.043938550724640,6.4383356521739100,-20.308852318840600,-3.4528794202898600
"Busse, Terry",90.367055,90.80388500000000,2220.4507165,6.06414,5.997845,-23.85206,1.343625
"Fenlong, Connor",90.09100655172410,90.24091672413790,2084.348688568970,5.677832068965520,6.080841034482760,-25.943140862069000,-3.5064579310344800
"Chiriboga, Chris",90.0046080952381,90.1335319047619,2316.864346952380,6.0778976190476200,6.178860952380950,-20.65454142857140,-2.5837452380952400
"Kiritsis, Daniel",89.70172333333340,89.977595,1992.1470863333300,5.914141666666670,6.127330000000000,-25.05235,1.3183916666666700
"Roberston, Trae",89.215435,89.870875,2131.5621935,5.745545,5.785,-23.75328,-2.88823
"Yamane, Tiaga",87.61705191780820,89.76615739726030,2654.6613950547900,5.992660821917810,4.9111393150684900,-23.34134178082190,-3.559022054794520
"Pickell, Cannon",89.02746777777780,89.57674000000000,2220.155301777780,5.828887777777780,6.167023333333330,-18.133583333333300,-3.8158533333333300
"Thornton, Zach",88.41328166666670,89.29108166666670,2244.994441166670,6.594706666666670,5.879926666666670,-16.36874333333330,-7.251868333333330
"Wiseman, Kevin",87.91256,89.01041,2305.029989,5.74553,5.72428,-24.87907,-1.93721
"Gonzalez, Joan",87.80664250000000,88.95661750000000,2252.9738687500000,5.497395,5.6877225000000000,-23.558860000000000,0.03258750000000000
"Wilhite, Thomas",87.91473333333330,88.94490666666670,2076.608019,5.72853,5.6431700000000000,-24.129253333333300,0.31421
"Knoll, Brendan",87.76877,88.77393000000000,2141.7784885,5.527975,5.896,-25.886355000000000,4.113785
"Steward, Casey",87.736425,88.520775,2140.0956255,5.95434,5.963355,-20.325365000000000,5.8852200000000000
"Olson, Mason",86.23994,88.45074,2233.965387,4.32403,5.27766,-27.74088,-6.7839
"Bosch, Carter",89.64461,88.38853,2402.451274,6.2235,6.91352,-21.23131,1.89654
"Crawford, Devin",86.28242333333330,88.12925416666670,2435.0985717500000,5.933207500000000,5.139978333333330,-24.111295000000000,2.377221666666670
"Murphy, Shane",85.8971,88.05801,2002.941579,5.86714,4.96543,-26.04631,-4.85559
"Schueler, Jay",87.929198,87.903242,2116.9923036,5.973064,6.29068,-21.965618,0.24250600000000000
"Fitzpatrick, Karter",88.21485666666670,87.63840833333330,2002.9972338333300,6.181071666666670,6.879811666666670,-21.941213333333300,-3.138258333333330
"Ornido, Riley",87.11603,87.6242,2184.330823,6.36909,6.67364,-12.93213,-4.82095
"Pintaro, Jonathan",86.05171000000000,87.55966000000000,2575.635789,4.80704,5.4711675,-27.119415,-3.7646975
"Palumbo, Nick",86.10269,87.53488,2539.192896,5.2913,5.66295,-25.22108,2.29134
"Tonas, Angelo",85.105745,87.463515,2057.9576405,5.25534,4.94436,-28.331825000000000,-5.776305
"Walling, Andrew",85.46271000000000,87.33002900000000,2213.5487664444400,5.757465,5.327349,-31.444052,4.189724
"Olejnik, Peyton",87.86103333333330,87.25749666666670,2429.629773,5.8436200000000000,6.769726666666670,-20.838000000000000,1.86533
"Brown, Matt",87.1329325,87.17859250000000,2282.3675572500000,5.6801450000000000,6.167825000000000,-23.6288725,3.769245
"Cherry, Derrick",86.326825,87.10213,2594.0179215,5.107065,5.6819300000000000,-27.236215,-0.5806500000000000
"Tullar, Cameron",86.211765,87.057615,2228.6972075000000,4.898900000000000,5.77394,-28.74917,-5.177015
"Fosbenner, Xavier",86.07126,86.86731,2276.7929250000000,5.30377,5.73986,-27.053795,-0.45106500000000000
"Czerniawski, Zachary",85.52553375,86.84804,2319.785397875,5.037275,5.41732625,-25.25227625,3.58525125
"Perry, Tanner",86.883055,86.72618625000000,2342.110056,5.65514625,6.31192625,-21.893235,2.6943525000000000
"Brewer, Michael",85.79002875000000,86.44219437500000,2344.9173080625,5.746336875000000,5.9942375000000000,-20.563726875,1.72363
"Modugno, John",84.257305,86.213745,2544.893919,6.06062,4.899935000000000,-27.423385000000000,-4.421695
"Kane, Thomas",84.69230318181820,86.13466181818180,1860.8103829090900,5.369565000000000,5.481453181818180,-28.36746045454550,-2.64374
"Noriega, Branden",84.00668,85.86700333333330,2340.910797,6.011656666666670,5.098050000000000,-29.936576666666700,-4.708376666666670
"Coles, Chad",84.60503,85.58398,2134.227355,5.88492,5.63916,-22.40615,2.73327
"Qin, Zimo",83.14027,84.8083,1713.279944,6.28317,5.58855,-23.30395,2.13126
"Bortka, Josh",84.59178,84.71524,2739.467739,5.60896,5.94237,-26.53671,-4.39929
"Keller, Dave",81.98499,83.65899,2214.577985,5.4831,5.15806,-22.85001,5.02233
"Sapp, Eric",82.15172750000000,83.633075,2023.6344880000000,5.9487050000000000,5.501095,-31.5548775,0.7850675
