pitcher,avgeffectvelo,avgvelo,avgspinrate,avgvertbreak,avghorzbreak
"Braithwaite, Trey",93.54720116883120,94.97197402597400,2505.434607415580,-12.203705974026000,0.26155142857142900
"Hoffman, Tyler",92.13680055555560,94.56398222222220,2628.613457111110,-16.464637222222200,2.844758333333330
"De Grandpre, Cedric",91.93166333333330,94.39014444444440,2361.5951581111100,-13.463887777777800,14.215631111111100
"Noriega, Branden",92.05880948717950,94.38695692307690,2358.50638774359,-15.154566666666700,-14.158921410256400
"Fusco, Sal",92.70070619047620,93.89570761904760,2238.100120403230,-14.513182857142900,9.392583809523810
"Thompson, Ben",91.53493555555560,93.88830444444440,2229.3839667777800,-17.90454111111110,7.90829
"Busse, Terry",92.74723000000000,93.60251416666670,2403.971060708330,-19.138396250000000,4.977275
"Stevens, Will",91.97129826086960,93.50044130434780,2641.280044826090,-20.472020000000000,2.202311304347830
"Oswald, Wesley",91.80973111111110,93.49157444444440,2458.0747905,-15.275191111111100,13.496003333333300
"Roberts, Aaron",93.90374705882350,93.41858044117650,2340.0029179545500,-14.62787455882350,9.558216176470590
"Brandon, Connor",90.20257,93.29503,2443.661386,-20.53186,13.92812
"Marozas, Austin",91.94073,93.27422,2407.796722,-18.08032,11.3904
"Sanchez, JJ",90.90468722222220,93.21881666666670,2151.290619111110,-18.503141666666700,-10.713760555555600
"Haab, Jonathan",91.52239000000000,93.12690100000000,2449.648940266670,-13.440210666666700,3.8640486666666700
"Bortka, Josh",91.96031981818180,92.84067472727270,2505.449050272730,-16.430428,10.46727909090910
"Gross, Thomas",90.12052888888890,92.83527555555560,2316.7919776666700,-21.02115444444440,10.930075555555600
"Cherry, Derrick",90.501942,92.82002800000000,2433.4790938000000,-19.987852,12.346432
"Hansen, Brett",91.09025454545450,92.81344363636360,1713.2011414545500,-19.24348545454550,-9.352754545454550
"Nett, Braden",91.57812436893210,92.74828893203890,2289.5446816504900,-15.60582203883500,4.611863495145630
"Velazquez, Ryan",92.03949684210530,92.74045684210530,2232.4037601052600,-16.332195263157900,10.04981789473680
"Schomberg, Will",88.55779888888890,92.62917666666670,2480.814699666670,-19.472666666666700,14.05261888888890
"Rodriguez, Joe Joe",91.07616126582280,92.5920246835443,2178.440456151900,-17.146543544303800,10.944470000000000
"Gilchrist, Malcolm",90.27076,92.55503894736840,2266.695627473680,-17.89392,-13.485487368421100
"Becker, Austin",90.93565545454550,92.54354909090910,2362.3880241272700,-16.564676,10.112494181818200
"Godwin, Connor",91.2533688372093,92.53908302325580,2203.5555913023300,-18.944588604651200,9.283654418604650
"De Cedric, Grandpre",90.87550666666670,92.44308960784310,2258.592097490200,-15.95187274509800,13.541140784313700
"Walling, Andrew",90.92067848837210,92.42095290697680,2158.3880653488400,-18.36284965116280,-4.0665947674418600
"Fruit, Zach",93.11372784615390,92.35638476923080,2295.4727811000000,-15.537866384615400,7.038008384615380
"Minton, Hayden",91.929164,92.33298371428570,1965.6106834000000,-18.81084942857140,9.116452571428570
"Gowens, Riley",90.9384096153846,92.29625910256410,2294.773434358970,-15.421369871794900,10.955929615384600
"Hunt, KC",91.36142943396230,92.25664528301890,2361.540312490570,-15.507611981132100,10.178970471698100
"Patten, Cole",91.55502355555560,92.20005866666670,2246.4175756,-18.87196244444450,8.588742222222220
"Escano, Antonio",90.75908913043480,92.1990456521739,2351.4913236087000,-16.117732608695700,13.539105434782600
"Peaden, Jacob",91.64279196078430,92.10246196078430,2476.8825575490200,-13.475746274509800,8.150980000000000
"Jeans, Tyler",90.80072720430110,92.07212634408600,2160.60554160215,-16.173207634408600,6.017720215053760
"Ammerlaan, Ashe",91.33430892857140,92.02618517857140,2307.6990736909100,-15.984295178571400,-14.636230892857100
"Tong, Jonah",91.10965523076920,91.8637096923077,2221.08428403125,-12.547488153846200,2.1564723076923100
"Amerlaan, Ashe",90.76181,91.85717625,2291.0654491250000,-15.79422125,-14.49816625
"Ayers, Kyle",90.05906368421050,91.82415649122810,2206.524718368420,-15.30128894736840,10.28799192982460
"Ottinger, Zach",89.66123314285720,91.81203542857150,2151.3603917428600,-20.907361142857100,9.264990571428570
"Wiseman, Kevin",90.56238838709680,91.79530048387100,2502.5392487419400,-13.659037096774200,9.784104677419350
"Blatter, Brock",92.11890062500000,91.77192625000000,2508.640503625,-17.202268750000000,-0.292579375
"Pintaro, Jonathan",90.92533755555550,91.7638011111111,2177.8327396444400,-20.459860888888900,9.439502444444450
"Bosch, Carter",91.99997619565220,91.72541630434780,2469.129759021740,-14.98745913043480,3.502450652173910
"Wilson, Benjamin",89.69485016,91.72328696,2173.914893912,-16.7890092,4.34677152
"Carter, Alan",91.21399686567160,91.6997352238806,2323.430196522390,-15.51921985074630,4.408915970149250
"Johnson, Tyler",89.85922902439030,91.61973512195120,2138.4842615121900,-18.49124682926830,11.435622682926800
"Fields, Colin",89.866568,91.600788,2491.1215436000000,-14.749816000000000,0.9705220000000000
"Patterson, Kyler",89.82179918032790,91.5705068852459,2181.6292232786900,-15.751544918032800,10.05384393442620
"Rodriguez, Mauricio",91.26552684210530,91.54285105263160,2166.923854,-18.073834210526300,12.492731052631600
"Parisi, Jack",89.92115750000000,91.46507,2433.6143875,-23.653745,6.756527500000000
"Bucknam, Micah",90.63227017241380,91.42434982758620,2383.455648,-18.34106051724140,11.01140827586210
"Coles, Chad",89.8577675,91.42342007812500,2330.5476805,-16.49022125,5.74505734375
"Yamane, Tiaga",88.80501538461540,91.37844923076920,2689.3337355833300,-19.800329230769200,2.8404676923076900
"Fernandez, Ronaldo",89.141599,91.33955633333330,2221.531433133330,-17.58449,13.977248666666700
"Rivera, Geo",91.553919375,91.299258125,2318.8036670000000,-18.913553750000000,2.15913125
"Cespedes, Angel",89.45408966101700,91.22123881355930,2281.2719807627100,-16.298164406779700,8.253098983050850
"Bravo, Zach",90.02417923076920,91.19921415384620,2304.691205030770,-16.415729384615400,10.530656769230800
"Wilson, Jeffrey",90.11913821428570,91.18867214285720,2251.2729076428600,-13.639045714285700,8.856238214285720
