pitcher,avgeffectvelo,avgvelo,avgspinrate,avgrelease,avgextension,avgvertbreak,avghorzbreak
"Fenlong, Connor",87.60205422222220,88.02183422222220,2078.4535764888900,5.690059555555560,5.977069111111110,-30.881211555555600,-4.912025555555560
"Kiritsis, Daniel",87.59003,87.54302600000000,1910.2700204,6.026576,6.1491560000000000,-27.093542000000000,2.524364
"Hoffman, Tyler",84.96127142857140,87.4574242857143,2684.8979127142900,5.8563600000000000,4.694564285714290,-35.672222857142900,-5.793932857142860
"Cherry, Derrick",85.10842666666670,86.38863888888890,2450.9462158888900,5.246595555555560,5.556621111111110,-32.44563888888890,3.9298933333333300
"Rivera, Geo",85.33154666666670,85.56578,2488.211097666670,5.562796666666670,6.0947666666666700,-35.505426666666700,-8.256343333333330
"Chiriboga, Chris",84.75631636363640,85.53439136363640,2517.1111353636400,6.002831818181820,5.889202272727270,-34.820849090909100,-3.464341818181820
"Fitzpatrick, Karter",85.71237388888890,85.35469666666670,1892.565881111110,6.20163777777778,6.6351538888888900,-24.471907777777800,-3.6813322222222200
"Kane, Thomas",83.64235,85.21789,1787.271507,5.28984,5.45522,-33.73691,-1.65189
"De Grandpre, Cedric",83.4587142857143,85.06672142857140,2223.954806,5.929571428571430,5.32031,-38.13791714285710,-1.8871257142857100
"Stevens, Will",83.76535121212120,85.01473575757580,2922.978998060610,5.735711212121210,5.421625151515150,-40.69315727272730,-10.319649090909100
"Palumbo, Nick",83.62272227272730,84.7237540909091,2443.6680785454500,5.27685409090909,5.513842272727270,-31.33420318181820,-2.277151818181820
"Fusco, Sal",83.40896952380950,84.63354142857140,2343.264411047620,6.067271428571430,5.452553333333330,-40.525504285714300,-3.475546666666670
"Ottinger, Zach",82.3783024137931,84.42800206896550,2497.652801655170,5.184594827586210,5.045863103448280,-39.33396793103450,0.5540793103448280
"Brandon, Connor",81.311808,84.15171800000000,2641.838557,5.032682000000000,4.51077,-46.16379000000000,-9.509224
"Jeans, Tyler",82.04480062500000,83.99441875,2660.7402370625,5.7429275000000000,5.1239887500000000,-40.836665625000000,-3.774755
"Richardson, Maddex",82.69745333333330,83.927204,2449.276561333330,6.1029506666666700,5.482808,-36.14811733333330,-2.683462
"Morris, Gunner",82.55032416666670,83.91431208333330,2290.445665130440,5.845978333333330,5.455332916666670,-35.04551958333330,-3.00808875
"Haab, Jonathan",81.16971555555560,83.72553222222220,2669.390506,5.894826666666670,4.8276111111111100,-43.62875555555560,-14.790301111111100
"Modugno, John",81.40521166666670,83.71115583333330,2492.929710333330,5.886472500000000,4.957465833333330,-36.58061083333330,-11.202932500000000
"Spoljaric, Turner",82.78204,83.66302,2043.26064,5.366,6.0127,-38.9801,6.0763
"Noriega, Branden",81.3028190909091,83.45913,2300.8440362727300,6.045812727272730,4.9575545454545500,-38.05992,-1.7880772727272700
"Thompson, Ben",81.612845,83.43367,2457.3769395,6.28271,5.234845,-39.007285000000000,-4.518035000000000
"Parisi, Jack",81.73348943396230,83.4154075471698,2769.025139433960,5.317795471698110,5.141933962264150,-40.381735094339600,-8.241618679245280
"Velazquez, Ryan",81.99743000000000,83.3925805882353,2112.5763961176500,5.990338235294120,5.618568235294120,-39.419460588235300,-4.401773529411770
"Reeves, Cobe",80.785955,83.35864166666670,2539.4206000833300,5.9573,5.013351666666670,-42.63490166666670,6.140878333333330
"Hunt, KC",81.33035390243900,83.24700536585370,2620.866826,5.675456585365850,5.006834146341460,-43.638504634146300,-4.167804878048780
"Pickell, Cannon",81.93498,83.15513666666670,2259.2844976666700,5.727340000000000,5.73032111111111,-32.926767777777800,-5.490820000000000
"Blatter, Brock",83.07297040000000,83.1313112,2670.9627599200000,5.933863200000000,6.1523472,-40.721638,-5.4642472
"Sikorski, Easton",81.37161892857140,83.12106607142860,2233.2795397500000,5.763473928571430,5.093764642857140,-39.01656535714290,-1.7366346428571400
"De Cedric, Grandpre",81.99118666666670,83.11346000000000,2084.8863361666700,6.021893333333330,5.708256666666670,-39.93142666666670,-1.3037600000000000
"Cespedes, Angel",81.41172833333330,83.05968833333330,2387.1333685,5.62338,5.246393333333330,-38.045073333333300,-4.68539
"Bortka, Josh",81.72188979381440,83.04445618556700,2773.5291109587600,5.63105618556701,5.4375613402061900,-36.683221958762900,-10.990612371134000
"Carter, Alan",80.8261790909091,83.0239590909091,2264.8767935454500,6.0758209090909100,5.031608181818180,-42.905807272727300,-8.458587272727270
"Patterson, Kyler",80.98588454545460,82.96375575757580,2696.490149454550,6.14871,5.0815166666666700,-42.63316787878790,-6.289805757575760
"Mollerus, Josh",80.34572617647060,82.67502088235290,2318.8876885000000,6.099301176470590,4.9736988235294100,-40.73602029411770,-6.786000294117650
"Walling, Andrew",81.08503962962960,82.65704222222220,2138.2374311923100,5.711444814814820,5.252931481481480,-38.66890629629630,6.175928518518520
"Gross, Thomas",79.8329925,82.577615,2574.53570525,5.34507,4.2402725000000000,-43.27141,-8.6520325
"Mineo, Ricky",81.95874782608700,82.52645434782610,1885.2591436087000,5.931937391304350,6.207123043478260,-34.31374739130440,-5.154736956521740
"Braithwaite, Trey",80.46078071428570,82.509735,2485.567221785710,6.322469285714290,5.129209285714290,-41.31361571428570,-13.842213571428600
"Cook, Jeremy",80.37346333333330,82.4783,2142.060349,5.329446666666670,4.867566666666670,-36.87464,2.8467866666666700
"Wilson, Jeffrey",80.96521538461540,82.2294123076923,2573.903730769230,6.339234615384620,5.568714615384620,-43.28838307692310,-6.039975384615390
"Wiseman, Kevin",80.56627857142860,82.19077714285720,2461.0661157142900,5.687634285714290,5.149815714285710,-44.827662857142900,-4.872172857142860
"Wright, Kerry",81.13509555555560,82.13447666666670,1926.1069535555600,5.332035555555560,5.985382222222220,-38.19580333333330,-0.4555566666666670
"Perry, Tanner",81.53050466666670,82.12057516666670,2360.3935850166700,5.666640500000000,5.819572166666670,-34.53723216666670,-3.6855025000000000
"Pintaro, Jonathan",80.59393615384620,82.11839923076920,2681.577485788460,5.115531730769230,5.470475192307690,-40.51845576923080,-11.970880961538500
"Wilson, Benjamin",79.82001600000000,82.04798150000000,2606.000613075,5.76523575,4.919613,-41.137503250000000,-12.047092000000000
"Elissalt, Frank",80.44620200000000,82.00338771428570,2507.0780154857100,5.382199428571430,5.323037142857140,-38.35176142857140,-3.7556171428571400
"Crawford, Devin",79.76092136363640,81.89699000000000,2382.2926264545500,5.89665,4.8357422727272700,-39.045041818181800,-4.544038181818180
"Ayers, Kyle",80.0114724,81.8766952,2550.3542546400000,5.721502,5.1928340000000000,-45.119414400000000,-6.5342804
"Saathoff, Allan",80.72667000000000,81.85957500000000,2300.965364875,5.6880250000000000,5.58025,-44.676043750000000,-5.6471600000000000
"Kengott, Jared",80.30047,81.78945333333330,2482.0721353333300,5.863600000000000,5.2474066666666700,-43.58321333333330,-5.37906
"Alba, Max",79.75943818181820,81.74679136363640,2402.0809520909100,6.811272727272730,5.311497272727270,-41.78103,-3.401737272727270
"Figueroa, Ryan",81.31081500000000,81.743825,2064.0533525,4.368575,6.0328800000000000,-34.532025000000000,4.82841
"Kush, Jacob",78.63606260869560,81.70508217391310,2448.816922304350,5.6643869565217400,4.274821739130430,-43.377562608695700,-4.801805652173910
"Smith, Chase",79.534469375,81.69587000000000,2555.8264368125000,4.22895875,4.9447175000000000,-41.36466,-6.61353
"Camfield, Geoffrey",78.70759884615380,81.63130076923080,2193.1542130384600,5.693903461538460,4.400660769230770,-41.57183730769230,-2.073938846153850
"Marozas, Austin",79.57970033333330,81.60045333333330,2634.1567141333300,5.693404666666670,5.200425666666670,-38.68599233333330,-7.688308
"Bravo, Zach",80.14856125,81.542889375,2482.3502908750000,5.81209125,5.356565,-44.563965000000000,-5.820405000000000
"Fruit, Zach",81.685504375,81.51750645833330,2306.762615583330,5.683029791666670,6.4090675,-35.598887708333300,-6.515550208333330
"Drees, Derek",79.7021634375,81.51674031250000,2242.3167160000000,6.241985000000000,5.151028125000000,-41.7193634375,-3.9364750000000000
"Pryor, Luke",80.36867711111110,81.50117111111110,2235.653620088890,5.857075555555560,5.6170193333333300,-40.51149333333330,-2.5993184444444400
"Thornton, Zach",80.09127870967740,81.49186258064520,2301.1538191935500,6.29740806451613,5.243810322580650,-40.13359,4.69005806451613
"Freeberger, Dominic",79.980325,81.44736,2238.0231285,5.105055,5.386365,-43.265555,-10.39676
"Hansel, Luke",79.86814,81.44104,2362.646371,5.69272,5.44563,-47.73321,-5.53559
"Fosbenner, Xavier",80.045034,81.423486,2435.5600210000000,5.219288000000000,5.3688400000000000,-38.251644,-7.666546000000000
"Wendell, Wyatt",79.37369375,81.4165525,2649.3239603750000,6.547136250000000,5.0221600000000000,-40.576877500000000,-14.941286250000000
"Cheeley, Austin ",80.45166677419360,81.39594774193550,2336.9268626451600,6.028023548387100,5.699749677419360,-39.595885483871000,-4.367292258064520
"Fluno, Carson",79.52447,81.3773025,2198.604535,6.4906025,5.5332800000000000,-45.69529,-3.5428675
"Coles, Chad",78.834964,81.308442,1771.1214312,6.105238,4.802352000000000,-45.061418,-4.402634000000000
"Steward, Casey",80.03832760000000,81.2957924,2285.7776093600000,5.763833600000000,5.6532672,-36.357188,-10.614443200000000
"Patten, Cole",79.14354727272730,81.1865396969697,2308.753345757580,5.904166363636360,5.148504848484850,-42.72735212121210,-3.503627575757580
"Stewart, Justin",80.55769733333340,81.168213,2379.9861700000000,5.293511333333330,5.928180333333330,-39.42398633333330,-7.112811000000000
"Peaden, Jacob",80.01164777777780,81.15911777777780,2512.865252925930,5.41445037037037,5.497310370370370,-40.328558888888900,-9.472876296296300
"Sanchez, JJ",79.20422,81.09547000000000,2408.7064386666700,5.09901,5.12101,-41.113173333333300,9.05645
"Escano, Antonio",80.38525655172420,81.05839655172410,2542.990308965520,5.188166206896550,5.877068965517240,-36.919454137931000,-3.7243420689655200
"Bosch, Carter",80.54850727272730,81.05375545454550,2376.1133233636400,5.744656363636360,5.943818181818180,-43.09046363636360,-6.492145454545450
"Bucknam, Micah",78.92005400000000,81.037036,1996.1374638000000,5.320778,5.177292,-45.635372,-5.094088000000000
"Gonzalez, Joan",79.16643767857140,81.01246875,2595.5636538035700,5.204075178571430,5.140341785714290,-42.96053303571430,-7.2780194642857100
"Sapp, Eric",79.29060884615380,80.89475961538460,2024.6185744230800,5.917840384615390,5.29257923076923,-39.63568807692310,2.743569615384620
"Rodriguez, Mauricio",80.47952117647060,80.68527764705880,2189.759399529410,5.411959411764710,6.411858235294120,-42.75239411764710,-4.390537058823530
"Knoll, Brendan",79.21172888888890,80.63839814814820,2481.5018725555600,5.676578888888890,5.25772962962963,-42.999731481481500,-11.376789259259300
"Fernandez, Ronaldo",78.30363083333330,80.60526333333330,2513.653628833330,4.868949166666670,4.818109166666670,-43.938025833333300,-5.025669166666670
"Rackers, Jason ",81.12658666666670,80.59069333333330,2161.8189333333300,5.882273333333330,6.681746666666670,-38.81004666666670,-5.959583333333330
"DePrimo, Hunter",78.51460842105260,80.4787097368421,2367.441165263160,4.4738513157894700,5.178875263157900,-36.78869289473680,-1.7452226315789500
"Czerniawski, Zachary",78.1486668888889,80.30460222222220,2378.4999117555600,5.000890888888890,4.801386666666670,-40.48106000000000,-5.184169333333330
"Morrissette, Wagner",78.64111111111110,80.25129333333330,2315.0237477777800,5.403401111111110,5.489218888888890,-37.43624666666670,-2.709687777777780
"Gilchrist, Malcolm",78.91729000000000,80.21208000000000,1999.2828732000000,4.891,5.761716,-38.502998,-2.3974660000000000
