pitcher,pitches,avgeffectvelo,avgvelo,avgspinrate,avghorzbreak,avgvertbreak
"Williams, Devin",861,83.16701509872240,83.8034843205575,2826.9846698113200,17.27400696864110,3.599581881533100
"Venditte, Pat",2,30.5,67.70000000000000,2669.0,-18.420000000000000,-8.400000000000000
"Richards, Trevor",485,83.29030927835050,83.78226804123710,2444.227083333330,15.087587628866000,-9.82614432989691
"Harvey, Joe",3,91.46666666666670,91.86666666666670,2425.6666666666700,11.52,-10.84
"Kowar, Jackson",192,85.765625,86.17500000000000,2413.1145833333300,16.360625,-2.866250000000000
"Hernández, Jonathan",64,85.1890625,90.93437500000000,2363.53125,14.941875000000000,-13.023750000000000
"Gearrin, Cory",9,84.95555555555560,85.2,2363.3333333333300,18.746666666666700,0.3333333333333330
"Sobotka, Chad",1,84.8,86.4,2358.0,6.84,-18.12
"Cotton, Jharel",164,78.66463414634140,80.01585365853660,2349.9634146341500,13.118048780487800,-8.042926829268290
"Curtiss, John",1,90.3,90.7,2342.0,10.08,-18.72
"Watson, Tony",414,82.36666666666670,85.30410628019320,2321.163771712160,-19.562028985507200,-7.3437681159420300
"Alcala, Jorge",173,88.98034682080930,89.89595375722550,2309.8901734104000,17.646936416185000,-9.021502890173410
"Germán, Domingo",355,85.98253521126760,86.53492957746480,2293.629943502830,17.52676056338030,-7.808788732394370
"Baragar, Caleb",1,87.3,86.5,2290.0,-13.560000000000000,-11.040000000000000
"Means, John",819,82.9757020757021,83.73626373626370,2289.3096695226400,-12.970256410256400,-17.031062271062300
"Hudson, Daniel",45,88.24222222222220,87.96222222222220,2286.5555555555600,17.522666666666700,-9.730666666666670
"Nelson, Kyle",8,89.73750000000000,90.3,2286.5,-8.97,-17.79
"Heuer, Codi",256,89.16953125000000,87.51054687500000,2275.4140625,15.985781250000000,-8.433281250000000
"Contreras, Roansy",1,91.0,90.8,2274.0,17.16,-11.28
"Matz, Steven",766,85.29947780678850,84.99765013054830,2263.323759791120,-16.01498694516970,-2.9738381201044400
