pitcher,pitches,avgeffectvelo,avgvelo,avgspinrate,avghorzbreak,avgvertbreak
"Jiménez, Dany",1,89.4,90.1,3081.0,3.84,-17.4
"Bauer, Trevor",625,83.79280000000000,85.20544000000000,2885.124386252050,-5.234304000000000,0.003647999999999970
"Burnes, Corbin",1722,95.4195702671312,94.84041811846690,2792.963393375940,-4.25066202090592,-10.852961672473900
"Darvish, Yu",1442,86.87579750346750,86.62441054091540,2774.210416666670,-4.982662968099860,-1.36385575589459
"Roe, Chaz",25,82.47200000000000,85.976,2738.7083333333300,-7.080000000000000,-3.3504
"Matzek, Tyler",51,90.30980392156860,89.85098039215680,2726.607843137260,5.451764705882350,-6.404705882352940
"Chatwood, Tyler",310,89.42838709677420,89.2341935483871,2722.083870967740,-4.759354838709680,-1.5778064516129000
"Newcomb, Sean",165,85.43030303030310,87.37878787878790,2700.8333333333300,4.1767272727272700,0.01963636363636370
"Davis, Wade",272,87.8194852941176,88.52720588235300,2686.349442379180,-5.033382352941180,-6.32514705882353
"Ferguson, Caleb",62,85.32258064516130,86.55806451612900,2683.0,4.8038709677419300,1.1748387096774200
"Maton, Phil",222,80.04729729729730,86.31891891891890,2672.0445544554500,-8.987027027027030,-0.007027027027027030
"Smith, Drew",225,87.84444444444450,88.09422222222230,2659.2533333333300,-6.400533333333340,-4.759466666666670
"Ottavino, Adam",34,87.82647058823530,86.6794117647059,2656.5,-2.336470588235290,-8.089411764705880
"Edwards Jr., Carl",1,94.1,92.7,2655.0,-4.08,-10.68
"Armstrong, Shawn",334,88.438622754491,89.04550898203590,2646.409090909090,-7.330059880239520,-4.454011976047910
"Buehler, Walker",700,92.47371428571430,91.87785714285710,2645.667142857140,-5.786914285714290,-8.788285714285710
"Fulmer, Carson",132,84.15378787878790,86.50757575757570,2631.328125,-4.897272727272730,-1.5563636363636400
"Jansen, Kenley",1022,91.75352250489230,91.90821917808220,2630.8101761252400,-7.724031311154600,-16.047475538160500
"Sobotka, Chad",6,89.01666666666670,89.23333333333330,2630.1666666666700,-1.8200000000000000,-8.460000000000000
"Venditte, Pat",13,79.70000000000000,80.0076923076923,2630.076923076920,4.08,-10.624615384615400
"Musgrove, Joe",589,89.90611205432940,90.49202037351450,2623.5315161839900,-1.7572156196944000,-8.248421052631580
"Hall, Matt",40,81.695,83.82000000000000,2615.7179487179500,3.5850000000000000,-3.597000000000000
"Gant, John",388,84.9585051546392,85.42938144329900,2612.051948051950,-1.7551546391752600,-5.861443298969070
"May, Dustin",330,93.37878787878790,93.32969696969700,2608.8018292682900,-0.608,-6.608
"Samardzija, Jeff",65,86.75230769230770,87.50923076923080,2605.078125,2.885538461538460,-12.856615384615400
"Stroman, Marcus",423,88.61962174940900,89.9427895981087,2591.9186602870800,-2.0070921985815600,-4.8845390070922
"Marte, Jose",10,88.5,87.50000000000000,2591.0,-6.876000000000000,-1.5840000000000000
"Hatch, Thomas",107,87.97289719626170,87.61962616822430,2586.8598130841100,-4.779813084112150,-4.662056074766350
"Gray, Sonny",115,84.42434782608700,83.8704347826087,2583.4695652173900,-5.511652173913040,3.3130434782608700
"Clase, Emmanuel",719,100.73417721519000,100.21974965229500,2579.4360056258800,-2.7156050069541000,-10.500751043115400
"Tomlin, Josh",683,85.1657393850659,85.83411420204980,2572.1275659824000,-3.0630746705710100,-10.690014641288400
"Thornton, Trent",219,89.8785388127854,89.81278538812790,2567.9086757990900,-2.8290410958904100,-9.150136986301370
"Yamamoto, Jordan",57,86.84210526315790,86.62631578947370,2563.7894736842100,-1.6778947368421100,-6.225263157894740
"Coonrod, Sam",19,93.80526315789470,93.62105263157900,2561.8947368421100,-0.025263157894736900,-8.551578947368420
"Sadler, Casey",313,86.02811501597440,88.36421725239620,2558.8426229508200,-3.586198083067090,-5.766134185303510
"Lynn, Lance",1111,89.02079207920790,88.87920792079210,2556.1872187218700,-2.5475427542754300,-5.423870387038710
"Robertson, David",198,92.69646464646470,92.20555555555560,2553.787878787880,-0.5636363636363640,-18.516363636363600
"Luetge, Lucas",763,88.20668414154650,88.34731323722150,2553.467720685110,4.811009174311930,-7.426474442988210
"Bieber, Shane",273,89.68937728937730,89.02930402930410,2553.011029411770,-1.7103296703296700,-9.36483516483517
"Raley, Brooks",509,86.49312377210220,87.37190569744600,2552.224852071010,4.7408251473477400,-6.601650294695480
"Clevinger, Mike",47,88.98723404255320,88.00425531914890,2546.0425531914900,-4.378723404255320,-4.9787234042553200
"Thompson, Zach",419,87.22124105011930,87.06276849642010,2544.5656324582300,-3.7781384248210000,-5.436658711217180
"Yajure, Miguel",61,88.0065573770492,87.87213114754100,2543.6721311475400,-1.6013114754098400,-10.701639344262300
"Lyles, Jordan",84,87.3309523809524,86.27500000000000,2543.5,-5.621428571428570,-1.362857142857140
"Holder, Jonathan",40,87.91,87.30250000000000,2530.625,-6.105000000000000,-5.901
