pitcher,pitches,avgeffectvelo,avgvelo,avgspinrate,avghorzbreak,avgvertbreak
"Bauer, Trevor",1273,89.31461115475260,93.71853888452470,2779.8070898598500,9.754029850746270,-19.9711861743912
"Bard, Daniel",600,96.72466666666670,97.35316666666670,2722.9142857142900,9.126800000000000,-10.286400000000000
"Bard, Luke",36,94.03333333333330,93.98888888888890,2719.8888888888900,8.746666666666660,-16.986666666666700
"Bush, Matt",37,94.48648648648650,95.14864864864870,2673.945945945950,6.8562162162162200,-19.16108108108110
"Maples, Dillon",195,94.6723076923077,95.16307692307690,2667.5257731958800,4.24123076923077,-9.986461538461540
"Adam, Jason",246,93.86260162601620,94.3158536585366,2661.382716049380,7.382439024390250,-16.224878048780500
"Leclerc, José",27,93.09629629629630,94.51851851851850,2660.037037037040,1.7777777777777800,-17.982222222222200
"Sims, Lucas",573,89.35078534031420,94.62705061082020,2646.893967093240,8.037486910994760,-18.154136125654500
"Black, Ray",40,95.705,95.7325,2641.45,8.742,-17.163000000000000
"Burnes, Corbin",65,96.91692307692310,96.29076923076920,2629.230769230770,4.630153846153850,-14.750769230769200
"Robertson, David",1,92.7,91.8,2626.0,8.52,-18.96
"Burdi, Nick",25,98.09200000000000,98.12800000000000,2622.08,2.923200000000000,-13.944000000000000
"Stratton, Chris",900,93.72222222222220,93.02688888888890,2614.880978865410,4.505600000000000,-15.585600000000000
"Nelson, Jimmy",173,94.27341040462430,93.83410404624280,2613.341040462430,2.6705202312138700,-17.215491329479800
"Scott, Tanner",669,96.35500747384160,96.67443946188340,2603.7668161435000,-4.326457399103140,-15.290582959641300
"Thornburg, Tyler",85,93.03882352941180,93.04000000000000,2601.364705882350,7.262117647058820,-20.764235294117600
"Biddle, Jesse",90,93.86111111111110,93.23888888888890,2598.0,-5.410666666666670,-15.086666666666700
"Edwards Jr., Carl",106,95.0122641509434,93.90660377358490,2593.622641509430,-0.9566037735849060,-15.603396226415100
"Hatch, Thomas",247,95.15910931174090,95.17651821862340,2589.1295546558700,7.585263157894740,-16.017327935222700
"Sheffield, Jordan",273,94.58937728937730,96.33333333333330,2587.6814814814800,7.062857142857140,-16.463736263736300
"Kopech, Michael",762,97.6671916010499,97.30262467191600,2587.469119579500,9.79433070866142,-18.510708661417300
"Burdi, Zack",163,96.55766871165650,96.69079754601220,2582.8159509202500,8.711411042944790,-14.823312883435600
"Adams, Austin",137,92.67956204379560,93.9832116788321,2578.845588235290,8.498978102189780,-9.18744525547445
"Doval, Camilo",205,97.0170731707317,98.72341463414630,2576.9851485148500,4.441170731707320,-12.884487804878000
"Sobotka, Chad",44,91.91818181818180,94.33636363636360,2570.318181818180,4.53,-17.323636363636400
"Diehl, Phillip",61,88.9098360655738,90.24918032786890,2564.7704918032800,-10.109508196721300,-15.702295081967200
"Lindblom, Josh",405,90.1523456790123,90.15827160493830,2564.1481481481500,5.279407407407410,-17.208888888888900
"Pressly, Ryan",612,95.23344262295090,95.18573770491800,2558.137704918030,0.6170588235294120,-16.643921568627500
"Minor, Mike",1600,89.67367104440270,90.83608505315820,2557.4472361809000,-1.7600250000000000,-14.528025
"Samardzija, Jeff",56,90.67321428571430,90.34285714285710,2557.3214285714300,11.946428571428600,-15.559285714285700
"Musgrove, Joe",734,92.41253405994550,93.14877384196180,2556.6707650273200,5.220653950953680,-12.624196185286100
"Luetge, Lucas",1,90.1,90.3,2556.0,-1.2000000000000000,-10.8
"Smith, Josh D.",18,89.10555555555560,89.23333333333330,2555.9444444444400,-11.153333333333300,-14.993333333333300
"Roe, Chaz",9,91.01111111111110,90.75555555555560,2554.8888888888900,4.266666666666670,-16.573333333333300
"Kittredge, Andrew",116,95.2146551724138,94.46724137931030,2546.7672413793100,0.029999999999999900,-13.085172413793100
"Clase, Emmanuel",10,101.03333333333300,100.7,2546.1111111111100,3.8040000000000000,-11.904
"Snead, Kirby",19,92.8736842105263,93.61052631578950,2542.2631578947400,-14.772631578947400,-13.187368421052600
"García, Yimi",579,94.59689119170990,95.45785837651120,2541.2629757785500,6.677098445595850,-12.639170984456000
"Winkler, Dan",219,94.05662100456630,93.57077625570780,2540.62100456621,6.686027397260270,-16.45534246575340
"Turley, Nik",207,94.6797101449275,94.18599033816420,2535.6376811594200,-6.713043478260870,-15.739710144927500
"Cease, Dylan",1930,95.86056994818650,96.90621761658030,2535.09645464025,4.4266943005181300,-17.962134715025900
"Darvish, Yu",805,94.76248447204980,94.77838509316770,2532.6223602484500,6.312298136645960,-18.850732919254700
"Helsley, Ryan",539,96.48664192949910,97.31354359925780,2528.468045112780,3.5592578849721700,-16.752801484230100
"Verlander, Justin",40,94.14000000000000,94.925,2524.35,12.909000000000000,-19.338
"Bender, Anthony",12,97.03333333333340,97.45000000000000,2520.9166666666700,6.470000000000000,-13.43
"Coleman, Dylan",65,98.75384615384610,98.18769230769230,2520.2153846153800,6.672000000000000,-15.686769230769200
"Stephenson, Robert",432,95.94814814814820,96.2571759259259,2516.7146171693700,12.177500000000000,-15.581388888888900
"Anderson, Shaun",252,94.22142857142860,93.7511904761905,2513.7936507936500,0.45000000000000000,-14.312857142857100
"Rosso, Ramón",195,93.50871794871800,94.04564102564100,2508.8358974359000,1.6541538461538500,-13.314461538461500
"Kershaw, Clayton",1207,88.47605633802820,91.03769676884840,2504.166098807500,0.47980115990058000,-19.581574150787100
"Richards, Garrett",1496,94.12854278074870,94.51864973262030,2500.8888888888900,-1.0986096256684500,-9.05791443850267
"Venditte, Pat",9,87.0111111111111,86.15555555555560,2500.5555555555600,6.173333333333330,-12.72
"Feyereisen, J.P.",626,91.19952076677320,93.09073482428110,2499.7993527508100,5.31699680511182,-20.74734824281150
"Suero, Wander",4,91.25,91.10000000000000,2499.5,5.9400000000000000,-14.700000000000000
"Turnbull, Spencer",710,94.04056338028170,93.80140845070420,2499.056338028170,2.411661971830990,-11.683098591549300
"Buehler, Walker",2125,95.99487058823530,95.84404705882360,2498.8459000942500,3.737618823529410,-18.455661176470600
"Harvey, Joe",28,95.32500000000000,95.17857142857140,2497.8571428571400,10.504285714285700,-13.817142857142900
"Green, Chad",1238,96.0239095315024,95.6488691437803,2496.9660743134100,4.8317932148626800,-19.15609046849760
"Pagán, Emilio",939,95.28168264110760,94.86293929712470,2496.7294994675200,5.741086261980830,-18.107603833865800
"Perdomo, Angel",256,95.00507812500000,94.37265625000000,2496.6953125,-4.91109375,-17.410781250000000
"Steele, Justin",436,93.36811926605510,93.1454128440367,2493.7540229885100,-2.027339449541280,-15.368256880733900
"Beasley, Jeremy",116,94.89224137931040,94.92155172413790,2492.9655172413800,6.37758620689655,-17.133103448275900
"Urías, Julio",2100,93.2118627918056,94.13177703668410,2492.4916626965200,-3.9541142857142900,-17.45948571428570
"Lovelady, Richard",105,94.86666666666670,93.06380952380960,2490.2761904761900,-6.216000000000000,-13.56228571428570
"Pomeranz, Drew",635,92.80251968503940,94.23858267716530,2488.35905511811,-3.0869291338582700,-18.69921259842520
"Bellatti, Andrew",45,93.35777777777780,94.25555555555550,2487.4666666666700,10.349333333333300,-16.912
"Sceroler, Mac",111,92.6891891891892,92.73873873873880,2487.162162162160,5.697297297297300,-18.81297297297300
"Castro, Anthony",244,96.26229508196720,95.10081967213120,2486.909836065570,3.012295081967210,-12.32114754098360
"Jiménez, Joe",686,94.66413994169100,94.53250728862970,2483.832361516040,9.382565597667640,-17.34559766763850
"Maton, Phil",856,93.72184579439250,92.03142523364480,2483.5684210526300,-0.24280373831775700,-13.570514018691600
"Lorenzen, Michael",323,95.04937888198760,96.76801242236020,2483.3009404388700,10.568544891640900,-16.110835913312700
"Givens, Mychal",677,95.05627769571640,94.71093057607090,2482.329881656810,9.003722304283610,-12.44277695716400
"Germán, Domingo",454,92.8491189427313,93.35330396475770,2481.6541850220300,8.909339207048460,-15.916387665198200
"Saucedo, Tayler",45,93.62444444444440,93.57333333333330,2476.3777777777800,-8.312,-14.725333333333300
"Evans, Demarcus",351,91.11965811965810,91.24757834757830,2475.190883190880,2.0263247863247900,-22.283760683760700
"Shafer, Justin",44,91.18409090909090,91.04090909090910,2475.1363636363600,4.955454545454540,-18.987272727272700
"Campbell, Paul",211,91.77440758293840,92.69241706161140,2474.355450236970,5.196966824644550,-17.574028436019000
"Cole, Gerrit",2105,97.4711638954869,97.35809976247030,2473.0865430337600,12.034147268408600,-17.997662707838500
"Schmidt, Clarke",57,93.42631578947370,93.93859649122810,2472.2105263157900,4.652631578947370,-14.084210526315800
"Hunter, Tommy",14,92.94285714285710,92.9,2471.9285714285700,6.42,-15.71142857142860
