pitcher,pitches,avgeffectvelo,avgvelo,avgspinrate,avghorzbreak,avgvertbreak
"Baragar, Caleb",2,94.05000000000000,94.35,2774.0,-12.900000000000000,-19.800000000000000
"Feyereisen, J.P.",1,92.3,93.5,2708.0,12.96,-21.6
"Sheffield, Jordan",1,92.7,93.9,2667.0,13.440000000000000,-19.200000000000000
"Rodríguez, Richard",2,93.75,93.5,2657.0,18.300000000000000,-17.04
"Antone, Tejay",411,96.35231143552310,96.107299270073,2646.420924574210,11.252554744525500,-13.500437956204400
"Burdi, Zack",12,97.60833333333330,98.06666666666670,2640.9166666666700,16.96,-13.360000000000000
"Biddle, Jesse",14,93.57857142857140,92.9857142857143,2640.214285714290,-14.434285714285700,-10.894285714285700
"Burnes, Corbin",575,96.68226086956520,96.33773913043480,2632.3078260869600,11.801113043478300,-12.68389565217390
"Maples, Dillon",112,95.24642857142860,95.51607142857140,2603.6160714285700,11.367857142857100,-7.678928571428570
"Kennedy, Ian",1,93.6,93.1,2588.0,16.200000000000000,-16.800000000000000
"Bard, Daniel",218,97.08899082568800,97.19908256880740,2572.4036697247700,14.757798165137600,-5.646605504587160
"Samardzija, Jeff",47,91.36595744680850,91.05957446808510,2564.936170212770,17.165106382978700,-10.368510638297900
"Richards, Garrett",79,94.90632911392400,95.28987341772150,2556.5822784810100,9.686582278481010,-10.593417721519000
"Rosso, Ramón",6,94.13333333333330,94.5,2556.0,8.6,-12.16
"Diehl, Phillip",3,88.56666666666670,90.63333333333330,2552.3333333333300,-15.560000000000000,-16.720000000000000
"Green, Chad",12,96.03333333333340,95.78333333333330,2549.5833333333300,10.36,-18.68
"Bauer, Trevor",93,94.59462365591400,94.36451612903220,2548.043010752690,14.44516129032260,-15.190967741935500
"Ponce, Cody",24,93.75416666666670,93.11666666666670,2546.875,14.670000000000000,-15.680000000000000
"Pagán, Emilio",1,94.1,93.6,2490.0,11.28,-19.68
"Rogers, Trevor",40,94.56750000000000,94.22000000000000,2489.125,-16.986000000000000,-14.196000000000000
"Newcomb, Sean",1,94.7,95.5,2489.0,-10.68,-18.240000000000000
"Coleman, Dylan",1,97.1,97.6,2489.0,12.72,-16.080000000000000
"Romano, Jordan",10,99.16,97.84,2486.4,11.928,-17.82
"Campbell, Paul",6,76.48333333333330,92.31666666666670,2483.4,10.14,-18.12
"Lindblom, Josh",15,90.30000000000000,90.50666666666670,2481.2,16.184000000000000,-15.424000000000000
"Rosenthal, Trevor",20,98.47,98.475,2481.05,10.686,-16.962000000000000
"Hunter, Tommy",213,92.57746478873240,92.5112676056338,2479.2957746478900,13.402816901408500,-12.15887323943660
"Pressly, Ryan",2,95.35,95.20000000000000,2471.0,12.420000000000000,-10.56
"Urías, Julio",27,93.22592592592590,94.25925925925930,2468.8888888888900,-9.853333333333330,-15.404444444444400
"Steele, Justin",196,91.65357142857140,93.01173469387750,2467.295336787570,-11.757551020408200,-11.552448979591800
"Scott, Tanner",37,95.95945945945950,96.23243243243240,2461.162162162160,-15.171891891891900,-8.85081081081081
"Moll, Sam",92,90.99239130434780,93.675,2460.108695652170,-14.962173913043500,-4.982608695652180
"Bashlor, Tyler",51,95.41960784313720,95.07254901960790,2458.392156862750,12.04470588235290,-15.089411764705900
"Muller, Kyle",7,93.55714285714290,93.52857142857140,2452.8571428571400,-11.965714285714300,-14.794285714285700
"Wells, Tyler",23,94.35217391304350,94.94347826086960,2452.1739130434800,9.245217391304350,-20.264347826087000
"Espinal, Raynel",2,93.35,93.30000000000000,2449.5,16.44,-14.940000000000000
"Robles, Hansel",28,88.6,95.91785714285720,2446.9615384615400,16.448571428571400,-15.797142857142900
"Jones, Nate",284,94.99401408450710,95.72007042253520,2442.274647887320,11.576197183098600,-16.065633802816900
"Smith, Josh D.",11,87.91818181818180,88.37272727272730,2442.2727272727300,-17.476363636363600,-1.8763636363636400
"Roe, Chaz",43,91.76976744186050,91.53488372093020,2440.9767441860500,13.054883720930200,-6.521860465116280
"Snead, Kirby",28,92.42857142857140,93.125,2438.035714285710,-19.47,-6.458571428571430
"Chatwood, Tyler",413,94.96537530266340,95.03849878934630,2437.6658595641600,14.067021791767600,-11.467409200968500
"Venditte, Pat",4,87.875,87.275,2431.25,15.45,-9.51
"Shafer, Justin",17,90.33529411764710,90.19411764705880,2430.5882352941200,14.047058823529400,-12.437647058823500
"Selman, Sam",3,91.93333333333330,91.46666666666670,2429.3333333333300,-10.44,-16.8
"Darvish, Yu",332,94.4620481927711,94.39457831325300,2428.8614457831300,13.70385542168680,-12.886626506024100
"Osuna, Roberto",5,94.42,95.16,2425.8,9.408000000000000,-18.216
"Lamet, Dinelson",132,96.12575757575760,96.55000000000000,2420.5757575757600,12.748181818181800,-16.059090909090900
"Hatch, Thomas",54,94.40925925925920,94.42777777777780,2420.1666666666700,15.140000000000000,-12.097777777777800
"Chapman, Aroldis",70,101.96000000000000,100.58428571428600,2420.0714285714300,-13.069714285714300,-15.924000000000000
"Santana, Dennis",482,93.80995850622410,95.0927385892116,2419.570833333330,17.655684647302900,-9.237759336099590
"McGee, Jake",3,94.93333333333330,95.46666666666670,2418.0,-16.96,-17.44
"Benjamin, Wes",3,90.26666666666670,91.43333333333330,2417.3333333333300,-13.36,-18.48
"Nittoli, Vinny",7,94.68571428571430,93.40000000000000,2416.285714285710,11.965714285714300,-11.708571428571400
"Curtiss, John",3,94.5,94.06666666666670,2412.6666666666700,12.080000000000000,-17.04
"Crawford, Kutter",2,96.05,95.85,2412.5,10.98,-17.64
"Heuer, Codi",21,98.64761904761910,96.32857142857140,2409.5238095238100,16.091428571428600,-12.468571428571400
"Anderson, Shaun",15,94.47333333333330,93.78,2408.266666666670,9.816,-12.944000000000000
"Musgrove, Joe",223,92.36278026905830,92.73766816143500,2408.152466367710,10.848430493273500,-6.2798206278026900
"White, Mitch",10,94.26000000000000,94.3,2407.1,9.108000000000000,-18.18
"Soto, Gregory",905,98.35779005524860,97.90430939226520,2404.927937915740,-15.37737016574590,-11.160795580110500
"Holland, Derek",667,92.5527736131934,92.68365817091450,2404.6831831831800,-15.76263868065970,-13.808455772113900
"May, Trevor",18,97.58333333333330,96.32222222222220,2403.6111111111100,11.146666666666700,-15.846666666666700
"Colina, Edwar",12,95.25833333333330,97.16666666666670,2400.25,14.380000000000000,-12.100000000000000
"May, Dustin",667,98.07511244377810,98.02983508245880,2398.403903903900,18.698770614692700,-8.01463268365817
"Hudson, Daniel",2,95.95,96.7,2398.0,17.64,-16.02
"Iglesias, Raisel",128,96.25234375000000,96.76640625,2397.3203125,14.822812500000000,-12.200625000000000
"Gallegos, Giovanny",2,92.4,93.8,2397.0,15.72,-15.420000000000000
"Yamamoto, Jordan",26,89.75000000000000,89.6846153846154,2394.1153846153800,9.48923076923077,-12.72
"Williams, Devin",13,96.81538461538460,95.86923076923080,2391.0,17.298461538461500,-14.732307692307700
"Hernández, Carlos",231,97.80865800865800,96.76753246753250,2390.5844155844200,10.21714285714290,-16.791168831168800
"Duffey, Tyler",51,92.66274509803920,92.6745098039216,2389.921568627450,15.496470588235300,-8.581176470588240
