pitcher,pitches,avgeffectvelo,avgvelo,avgspinrate,avghorzbreak,avgvertbreak
"Crick, Kyle",311,77.92057877813500,78.50450160771710,3261.430868167200,-21.635498392283000,0.829581993569132
"Smith, Josh D.",14,56.057142857142900,78.82857142857140,2979.1,16.560000000000000,0.9000000000000000
"Nelson, Jimmy",170,85.95176470588240,86.46294117647060,2975.579881656810,-13.618588235294100,1.5924705882352900
"Castro, Miguel",580,86.14344827586210,85.95879310344820,2968.9136442141600,-10.266413793103400,-1.219655172413790
"Hahn, Jesse",46,70.3021739130435,82.58043478260870,2956.4358974359000,-13.07478260869570,7.385217391304350
"Bauer, Trevor",546,77.4386446886447,80.76318681318680,2953.447619047620,-17.339780219780200,2.563076923076920
"Roe, Chaz",105,63.789523809523800,80.43238095238090,2951.7738095238100,-21.973714285714300,2.0537142857142900
"Sobotka, Chad",30,61.05000000000000,83.27333333333330,2944.7272727272700,-10.364000000000000,4.256
"Thornton, Trent",105,64.33619047619050,83.36761904761900,2937.5061728395100,-8.758857142857140,2.6754285714285700
"Moll, Sam",75,81.26533333333330,83.90933333333330,2930.1866666666700,11.096,-0.6080000000000000
"Paredes, Enoli",201,84.48457711442790,84.93283582089550,2918.175,-10.44716417910450,-1.4202985074626900
"Venditte, Pat",16,35.80625,72.43125000000000,2905.375,10.267500000000000,-6.157500000000000
"Matzek, Tyler",472,84.2237288135593,84.35360169491530,2896.0148619957500,6.915000000000000,6.95110169491525
"Black, Ray",27,69.72962962962960,82.2074074074074,2893.391304347830,-11.68,-0.41333333333333300
"Bard, Daniel",686,86.98134110787170,87.17172011661810,2892.484626647150,-8.691428571428570,-2.3324781341107900
"Bard, Luke",39,65.72307692307690,85.53333333333330,2886.8,-6.344615384615380,0.39384615384615400
"Adams, Chance",8,52.85,84.02500000000000,2880.2,-8.01,-0.31500000000000000
"Burnes, Corbin",383,88.17963446475200,87.61070496083550,2877.005221932120,-7.691592689295040,0.013785900783289900
"Stratton, Chris",333,86.86846846846850,86.17687687687690,2874.6516516516500,-7.008648648648650,-1.0922522522522500
"Yamamoto, Jordan",73,76.77945205479450,78.29041095890410,2869.722222222220,-16.758904109589000,4.333150684931510
"Sheffield, Jordan",78,83.04230769230770,88.01923076923080,2859.054054054050,-5.453846153846150,-0.6492307692307690
"Cease, Dylan",1255,85.26988047808770,85.70127490039850,2858.9968051118200,-6.913816733067730,1.9128286852589600
"Stephenson, Robert",212,83.56556603773590,83.88915094339620,2858.4028436019000,-3.854716981132070,2.9677358490566000
"Gearrin, Cory",10,57.89000000000000,84.02,2857.5714285714300,-1.992,-3.204
"Newcomb, Sean",29,73.67586206896550,79.64482758620690,2850.0,11.921379310344800,9.18206896551724
"Romo, Sergio",830,74.80977080820260,76.66827503015680,2846.350241545890,-14.332626506024100,-7.8832771084337300
