	MLB DL Pitcher	MLB Comp	Cosine Value
0	Wilson, Jeffrey	Ryan, Kyle	0.2721655269759087
1	McMahon, Ian	Bourque, James	0.2519763153394848
2	Blatter, Brock	Slater, Austin	0.2721655269759087
3	Rodriguez, Joe Joe	No Comp	No Similarity
4	Heine, Dylan	No Comp	No Similarity
5	Sikorski, Easton	Gonzales, Marco	0.31622776601683794
6	Chiriboga, Chris	Lauer, Eric	0.3333333333333333
7	Cheeley, Austin 	Slater, Austin	0.2721655269759087
8	Wilhite, Thomas	Bednar, David	0.3333333333333333
9	Thornton, Zach	Tomlin, Josh	0.3333333333333333
10	Thompson , Wyatt	Anderson, Shaun	0.3333333333333333
11	Szabo, Zakery	Slater, Austin	0.2721655269759087
12	Bucknam, Micah	Cotton, Jharel	0.2357022603955158
13	Olejnik, Peyton	Herget, Jimmy	0.2
14	Keller, Dave	Naughton, Packy	0.3508232077228117
15	Reeves, Cobe	Cotton, Jharel	0.35355339059327373
16	Peaden, Jacob	Cotton, Jharel	0.6123724356957945
17	Mineo, Ricky	No Comp	No Similarity
18	Palumbo, Nick	No Comp	No Similarity
19	Mann, Rhian	No Comp	No Similarity
20	Knoll, Brendan	No Comp	No Similarity
21	Fernandez, Ronaldo	Adams, Chance	0.3333333333333333
22	Coles, Chad	No Comp	No Similarity
23	Noriega, Branden	No Comp	No Similarity
24	Tong, Jonah	Roark, Tanner	0.31622776601683794
25	Cespedes, Angel	Krol, Ian	0.33806170189140666
26	Camfield, Geoffrey	Fried, Max	0.3333333333333333
27	Kiritsis, Daniel	Krol, Ian	0.33806170189140666
28	Gilchrist, Malcolm	Lauer, Eric	0.3333333333333333
29	Bravo, Zach	Miller, Tyson	0.35355339059327373
30	Dieter, Brandon	No Comp	No Similarity
31	Rivera, Geo	Cotton, Jharel	0.33541019662496846
32	Wall, Chris 	No Comp	No Similarity
33	Johnson, Tyler	Thielbar, Caleb	0.2721655269759087
34	Minton, Hayden	Hernández, Carlos	0.38138503569823695
35	Brandon, Connor	No Comp	No Similarity
36	Wiseman, Kevin	Stephenson, Robert	0.3333333333333333
37	Brewer, Michael	Speier, Gabe	0.2981423969999719
38	De Cedric, Grandpre	No Comp	No Similarity
39	Oswald, Wesley	No Comp	No Similarity
40	Gonzalez, Jesus	Bourque, James	0.2519763153394848
41	Diedrich, Sayer	Lauer, Eric	0.4216370213557839
42	Perry, Tanner	No Comp	No Similarity
43	Qin, Zimo	No Comp	No Similarity
44	Bosch, Carter	Ryan, Kyle	0.2721655269759087
45	Ayers, Kyle	Hahn, Jesse	0.3333333333333333
46	Wall, Chris	Lauer, Eric	0.3333333333333333
47	Fenlong, Connor	Cotton, Jharel	0.33541019662496846
48	Richardson, Maddex	Antone, Tejay	0.30151134457776363
49	Figueroa, Anthony	No Comp	No Similarity
50	Fruit, Zach	Mitchell, Bryan	0.4811252243246882
51	Harris, Antoine	Weaver, Luke	0.3779644730092272
52	Milberg, Devin	Corbin, Patrick	0.31622776601683794
53	Walling, Andrew	Lauer, Eric	0.4216370213557839
54	Garcia, Lex	Holder, Jonathan	0.3333333333333333
55	Carter, Alan	No Comp	No Similarity
56	Fitzpatrick, Karter	No Comp	No Similarity
57	Figueroa, Ryan	No Comp	No Similarity
58	Suero, Jose	Kluber, Corey	0.2519763153394848
59	Ornido, Riley	Cotton, Jharel	0.42640143271122083
60	Stevens, Will	Difo, Wilmer	0.4216370213557839
61	Jarvis Jr., Evans	No Comp	No Similarity
62	Pratt, Davis	Axford, John	0.3585685828003181
63	Rodriguez, Mauricio	Jefferies, Daulton	0.28867513459481287
64	Thompson, Wyatt	Oswalt, Corey	0.2860387767736777
65	Drake, Kohl	Lauer, Eric	0.3333333333333333
66	Schomberg, Will	No Comp	No Similarity
67	Czerniawski, Zachary	Adams, Chance	0.3333333333333333
68	Mollerus, Josh	Greinke, Zack	0.33541019662496846
69	Rackers, Jason	Miller, Tyson	0.42640143271122083
70	Godwin, Connor	Difo, Wilmer	0.4216370213557839
71	Alba, Miguel	Kelley, Trevor	0.3333333333333333
72	Pintaro, Jonathan	No Comp	No Similarity
73	Schueler, Jay	Thielbar, Caleb	0.2721655269759087
74	Galatas, Nikelle	Lauer, Eric	0.3333333333333333
75	Escano, Antonio	No Comp	No Similarity
76	Velazquez, Ryan	Slater, Austin	0.492365963917331
77	Tonas, Angelo	Johnson, DJ	0.3333333333333333
78	Ammerlaan, Ashe	Corbin, Patrick	0.4743416490252569
79	Roberts, Aaron	García, Robel	0.4811252243246882
80	Tullar, Cameron	Plawecki, Kevin	0.31622776601683794
81	Smith, Chase	Coonrod, Sam	0.3333333333333333
82	Allain, Luke	Krol, Ian	0.33806170189140666
83	Davitt, Duncan	Grotz, Zac	0.2860387767736777
84	Wright, Kerry	Peterson, David	0.31622776601683794
85	Pickell, Cannon	Bourque, James	0.2519763153394848
86	Kush, Jacob	Miller, Tyson	0.2357022603955158
87	Laux, Brandon	Peterson, David	0.31622776601683794
88	Cox, Brennan	Bourque, James	0.2519763153394848
89	Gill, Elijah	Scherzer, Max	0.3333333333333333
90	Murphy, Shane	No Comp	No Similarity
91	Bortka, Josh	Smith, Josh A.	0.30000000000000004
92	Haab, Jonathan	Thielbar, Caleb	0.3872983346207417
93	Kengott, Jared	Lewicki, Artie	0.30151134457776363
94	Thompson, Ben	Lindblom, Josh	0.31622776601683794
95	Wojtarowicz, Andre	Duffy, Matt	0.21081851067789195
96	Spoljaric, Turner	Thielbar, Caleb	0.3872983346207417
97	Whaley, Alec	No Comp	No Similarity
98	Becker, Austin	Bednar, David	0.31622776601683794
99	Fosbenner, Xavier	Lauer, Eric	0.3333333333333333
100	Crawford, Devin	No Comp	No Similarity
101	Drees, Derek	Hernández, Carlos	0.19069251784911848
102	Cook, Jeremy	No Comp	No Similarity
103	Olson, Mason	No Comp	No Similarity
104	Steward, Casey	Speier, Gabe	0.4242640687119285
105	Cheeley, Austin	Lin, Tzu-Wei	0.35355339059327373
106	Yamane, Tiaga	Difo, Wilmer	0.4216370213557839
107	Gross, Thomas	No Comp	No Similarity
108	Elissalt, Frank	Bumgarner, Madison	0.2860387767736777
109	Parisi, Jack	No Comp	No Similarity
110	Gowens, Riley	Peterson, David	0.31622776601683794
111	Fluno, Carson	Slater, Austin	0.2721655269759087
112	Saathoff, Allan	No Comp	No Similarity
113	Shalley, Tucker	Rosscup, Zac	0.31622776601683794
114	Gonzalez, Joan	No Comp	No Similarity
115	Jeans, Tyler	No Comp	No Similarity
116	Tieding, Matthew	No Comp	No Similarity
117	Hansel, Luke	Ryan, Kyle	0.2721655269759087
118	Patterson, Kyler	Jefferies, Daulton	0.28867513459481287
119	Fusco, Sal	No Comp	No Similarity
120	Busse, Terry	Burnes, Corbin	0.30000000000000004
121	Patten, Cole	Glasnow, Tyler	0.31622776601683794
122	Roberston, Trae	Arrieta, Jake	0.30000000000000004
123	Hunt, KC	No Comp	No Similarity
124	Ronan, Mason	Bourque, James	0.2519763153394848
125	Wilson, Benjamin	No Comp	No Similarity
126	Freeberger, Dominic	Lauer, Eric	0.31622776601683794
127	Nett, Braden	Fulmer, Carson	0.30000000000000004
128	Pryor, Luke	Kluber, Corey	0.2519763153394848
129	Brown, Matt	Cotton, Jharel	0.33541019662496846
130	Sapp, Eric	González, Gio	0.3333333333333333
