	MLB DL Pitcher	MLB Comp	Cosine Value
0	Parisi, Jack	Flexen, Chris	0.2981423969999719
1	Chiriboga, Chris	Sampson, Adrian	0.4558423058385518
2	Sapp, Eric	Baker, Bryan	0.2357022603955158
3	Pickell, Cannon	González, Chi Chi	0.38138503569823695
4	Olson, Mason	Arihara, Kohei	0.31622776601683794
5	Modugno, John	Arihara, Kohei	0.31622776601683794
6	Gonzalez, Joan	Sánchez, Sixto	0.3333333333333333
7	Busse, Terry	Sampson, Adrian	0.4558423058385518
8	Kane, Thomas	Rusin, Chris	0.2519763153394848
9	Wiseman, Kevin	Sánchez, Sixto	0.3333333333333333
10	Haab, Jonathan	Hamels, Cole	0.35355339059327373
11	Rivera, Geo	Alvarado, José	0.40451991747794525
12	Bortka, Josh	Rusin, Chris	0.4558423058385518
13	Walling, Andrew	Eibner, Brett	0.2519763153394848
14	Knoll, Brendan	Sánchez, Sixto	0.3333333333333333
15	Schueler, Jay	Paddack, Chris	0.42640143271122083
16	Blatter, Brock	Tepera, Ryan	0.40201512610368484
17	Bosch, Carter	Barnes, Jacob	0.408248290463863
18	Roberston, Trae	González, Chi Chi	0.38138503569823695
19	Steward, Casey	Sánchez, Sixto	0.3333333333333333
20	Stevens, Will	Flexen, Chris	0.2981423969999719
21	Brewer, Michael	Civale, Aaron	0.2519763153394848
22	Noriega, Branden	Morgan, Eli	0.2981423969999719
23	Qin, Zimo	Rusin, Chris	0.2519763153394848
24	Pintaro, Jonathan	Sadler, Casey	0.3333333333333333
25	Czerniawski, Zachary	No Comp	No Similarity
26	Hansel, Luke	Tepera, Ryan	0.40201512610368484
27	Murphy, Shane	No Comp	No Similarity
28	Perry, Tanner	Thompson, Ryan	0.40201512610368484
29	Keller, Dave	Baker, Bryan	0.2357022603955158
30	Olejnik, Peyton	Paddack, Chris	0.42640143271122083
31	Tullar, Cameron	Garcia, Luis	0.2981423969999719
32	Yamane, Tiaga	Ottavino, Adam	0.30151134457776363
33	Palumbo, Nick	Garcia, Luis	0.2981423969999719
34	Kiritsis, Daniel	González, Chi Chi	0.38138503569823695
35	Fenlong, Connor	Sampson, Adrian	0.4558423058385518
36	Thornton, Zach	Barnes, Jacob	0.2721655269759087
37	Tonas, Angelo	No Comp	No Similarity
38	Carter, Alan	Weaver, Luke	0.35355339059327373
39	Fitzpatrick, Karter	Sánchez, Sixto	0.3333333333333333
40	Braithwaite, Trey	Thielbar, Caleb	0.2721655269759087
41	Crawford, Devin	Barnes, Jacob	0.2721655269759087
42	Wilhite, Thomas	Sánchez, Sixto	0.4444444444444444
43	Fosbenner, Xavier	Arihara, Kohei	0.4767312946227962
44	Coles, Chad	No Comp	No Similarity
45	Cherry, Derrick	Gray, Sonny	0.3333333333333333
46	Ornido, Riley	Honeywell Jr, Brent	0.4545454545454546
47	Brown, Matt	Paddack, Chris	0.42640143271122083
