	MLB DL Pitcher	MLB Comp	Cosine Value
0	Wilhite, Thomas	No Comp	No Similarity
1	Wojtarowicz, Andre	Hand, Brad	0.31622776601683794
2	Wilson, Benjamin	Ureña, José	0.3508232077228117
3	Oswald, Wesley	Szapucki, Thomas	0.33541019662496846
4	Schomberg, Will	Gallen, Zac	0.31622776601683794
5	Rodriguez, Mauricio	Bender, Anthony	0.4811252243246882
6	Pryor, Luke	Gallegos, Giovanny	0.4
7	Palumbo, Nick	No Comp	No Similarity
8	Gill, Elijah	Chafin, Andrew	0.31622776601683794
9	Fosbenner, Xavier	Germán, Domingo	0.30000000000000004
10	Goodwin, Sean	Farrell, Luke	0.30000000000000004
11	Fusco, Sal	Alaniz, R.J.	0.38138503569823695
12	Roberts, Aaron	Valdez, Phillips	0.3872983346207417
13	Cox, Brennan	Gerber, Joey	0.31622776601683794
14	Elissalt, Frank	Szapucki, Thomas	0.33541019662496846
15	Bravo, Zach	Bashlor, Tyler	0.3651483716701108
16	De Grandpre, Cedric	Avila, Pedro	0.3849001794597505
17	Pintaro, Jonathan	Jones, Nate	0.3651483716701108
18	Sapp, Eric	Ureña, José	0.3508232077228117
19	Cheeley, Austin	No Comp	No Similarity
20	Johnson, Tyler	Familia, Jeurys	0.38138503569823695
21	Knoll, Brendan	May, Trevor	0.30000000000000004
22	Smith, Chase	Wendelken, J.B.	0.23904572186687872
23	Allain, Luke	Ureña, José	0.3508232077228117
24	Jarvis Jr., Evans	Hartlieb, Geoff	0.30000000000000004
25	Velazquez, Ryan	Madero, Luís	0.4
26	Czerniawski, Zachary	Wendelken, J.B.	0.2519763153394848
27	Sanchez, JJ	Urías, Julio	0.3651483716701108
28	Ammerlaan, Ashe	Díaz, Edwin	0.38138503569823695
29	Spoljaric, Turner	May, Dustin	0.30000000000000004
30	Peaden, Jacob	Montgomery, Mike	0.4351941398892446
31	Schueler, Jay	Brewer, Colten	0.3651483716701108
32	Sikorski, Easton	Familia, Jeurys	0.38138503569823695
